N,rho_star,T_cross,kappa_cross,eps_inv_cross,method,left_T,right_T
50,0.001,0.2387354484198545,4.188736974834755,0.954941793679418,linear_interpolation,0.225,0.25
50,0.005,0.2145056753732212,4.66188131507517,0.8580227014928848,linear_interpolation,0.2,0.225
50,0.01,0.1938647656799649,5.158234898913071,0.7754590627198596,linear_interpolation,0.175,0.2
200,0.01,0.1892680643530882,5.283511528571743,0.7570722574123528,linear_interpolation,0.175,0.2
