N,rho_star,T_star,kappa,a,α,n_cut,m_cut,step_size,n_burnin,n_sweeps,sample_every,n_samples,seed,mean_abs_Q2_first_shell,ϵ0_inv,universal_line_4T,diff_to_4T,acceptance_rate,U1_mean,beta_U_mean
50,0.001,0.05,20.0,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100000,0.01126394731399952,0.9641457421250059,0.2,0.764145742125006,0.001965,-133.96040610753212,-2679.2081221506373
50,0.001,0.075,13.333333333333334,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100001,0.011015082626900975,0.9766252686848407,0.3,0.6766252686848406,0.0034016666666666666,-133.05828234125775,-1774.1104312167672
50,0.001,0.1,10.0,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100002,0.01313079646152467,0.9791016883641478,0.4,0.5791016883641478,0.004935,-132.24660737132373,-1322.4660737132342
50,0.001,0.125,8.0,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100003,0.015817182712018416,0.9798609374847568,0.5,0.4798609374847568,0.006516666666666666,-131.19284707507575,-1049.542776600606
50,0.001,0.15,6.666666666666667,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100004,0.015523188670292244,0.9835293852704993,0.6,0.3835293852704993,0.009971666666666667,-129.91608733204646,-866.107248880311
50,0.001,0.175,5.714285714285714,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100005,0.021094021876415223,0.9808158979924568,0.7,0.2808158979924569,0.01534,-128.52634248220915,-734.4362427554794
50,0.001,0.2,5.0,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100006,0.02894490544821305,0.9769663761029468,0.8,0.17696637610294674,0.022433333333333333,-127.0599792992888,-635.299896496445
50,0.001,0.225,4.444444444444445,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100007,0.045908277879330224,0.9675265362074146,0.9,0.06752653620741456,0.035205,-124.95738445556806,-555.3661531358576
50,0.001,0.25,4.0,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100008,0.0869892157916007,0.9446209452443167,1.0,-0.05537905475568328,0.05248166666666667,-122.76096978763806,-491.04387915055224
50,0.001,0.275,3.6363636363636362,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100009,0.15802901751193996,0.9085414571309784,1.1,-0.19145854286902164,0.07701,-120.29890130246798,-437.4505501907927
50,0.001,0.3,3.3333333333333335,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100010,0.33200729008267255,0.8238646621359929,1.2,-0.3761353378640071,0.11153,-116.92527796389746,-389.7509265463237
50,0.001,0.35,2.857142857142857,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100011,0.9986829533290379,0.54587048970306,1.4,-0.85412951029694,0.20538333333333333,-108.73461459304423,-310.67032740869456
50,0.001,0.4,2.5,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100012,1.677241700242523,0.3326467316163687,1.6,-1.2673532683836313,0.30900666666666665,-100.6604646623443,-251.65116165587057
50,0.001,0.5,2.0,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100013,2.470879794860192,0.21349453372422422,2.0,-1.7865054662757758,0.4619316666666667,-89.98239443366057,-179.96478886732115
50,0.001,0.6,1.6666666666666667,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100014,3.005804868315156,0.20268549539659886,2.4,-2.1973145046034013,0.5634166666666667,-83.47580299882426,-139.1263383313731
50,0.001,0.8,1.25,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100015,4.095638452056069,0.18519861904754753,3.2,-3.0148013809524525,0.6815583333333334,-75.49712089770321,-94.37140112212717
50,0.001,1.0,1.0,0.00447213595499958,1.7724538509055159,1,6,0.05,2000,10000,10,1000,100016,5.0438075080778955,0.19725310308538813,4.0,-3.802746896914612,0.744535,-71.19736006061032,-71.19736006061032
50,0.005,0.05,20.0,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101000,0.03866496555939931,0.8769255921348742,0.2,0.6769255921348742,0.006376666666666667,-115.67001752204098,-2313.400350440815
50,0.005,0.075,13.333333333333334,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101001,0.03958656071016722,0.9159947091062597,0.3,0.6159947091062596,0.01131,-114.4532196661164,-1526.0429288815556
