N,a,kappa,one_over_kappa,U1_mean,U1_std,U_over_Ne2,U_over_Ne2_std,U_over_Ne2_sem,U2_mean,beta_U_mean,acceptance_rate,n_samples,seed,include_log,include_cosh,elapsed_seconds
104.0,0.007823901817554269,10.0,0.1,-246.9838137478314,1.0625137379693346,0.05044158464481214,0.010216478249705138,0.0006461468186927741,0.0,-2469.8381374782957,0.013280448717948718,250.0,0.0,1.0,0.0,45.98654317855835
104.0,0.007823901817554269,7.0,0.14285714285714285,-242.2507062740387,1.5144532351900697,0.09595223343128052,0.01456205033836606,0.0009209849294252477,0.0,-1695.7549439182733,0.0271875,250.0,0.0,1.0,0.0,46.783409118652344
104.0,0.007823901817554269,6.0,0.16666666666666666,-239.9684906221786,1.8378668698971914,0.11789661469916603,0.017671796825934533,0.0011176625663537449,0.0,-1439.8109437330831,0.03736217948717949,250.0,0.0,1.0,0.0,45.753787994384766
104.0,0.007823901817554269,5.0,0.2,-235.60983309908522,2.4395037794348258,0.1598067831904487,0.023456767109950257,0.001483536212231362,0.0,-1178.0491654954058,0.06266346153846154,250.0,0.0,1.0,0.0,46.591423988342285
104.0,0.007823901817554269,4.0,0.25,-226.47124780418284,3.377253042520875,0.24767779564143289,0.03247358694731611,0.0020538099709806646,0.0,-905.8849912167314,0.12004166666666667,250.0,0.0,1.0,0.0,46.08955717086792
104.0,0.007823901817554269,4.75,0.21052631578947367,-233.2758668810982,2.620940142829961,0.1822487660557082,0.025201347527211173,0.0015938731658287904,0.0,-1108.0603676852152,0.07424839743589744,250.0,0.0,1.0,0.0,47.076119899749756
104.0,0.007823901817554269,3.5,0.2857142857142857,-217.3032660940893,4.3151753709713265,0.33583146593079405,0.041492070874724285,0.0026241889760252736,0.0,-760.5614313293186,0.18894551282051283,250.0,0.0,1.0,0.0,43.06974411010742
104.0,0.007823901817554269,3.0,0.3333333333333333,-207.1269376528354,4.688174627946874,0.4336807778659273,0.04507860219179685,0.0028510211332547306,0.0,-621.3808129585071,0.2713125,250.0,0.0,1.0,0.0,42.661696910858154
104.0,0.007823901817554269,2.0,0.5,-184.51191413306876,5.228343181378441,0.651132927094453,0.050272530590177326,0.003179514008108985,0.0,-369.0238282661375,0.47817147435897434,250.0,0.0,1.0,0.0,46.73155498504639
104.0,0.007823901817554269,1.4,0.7142857142857143,-172.0140597445362,5.262047289895977,0.7713046039072665,0.050596608556692096,0.0032000104983822336,0.0,-240.81968364234882,0.6061282051282051,250.0,0.0,1.0,0.0,37.67260408401489
