N,a,kappa,one_over_kappa,U1_mean,U1_std,U_over_Ne2,U_over_Ne2_std,U_over_Ne2_sem,U2_mean,beta_U_mean,acceptance_rate,n_samples,seed,include_log,include_cosh,elapsed_seconds
32.0,0.014104739588693908,10.0,0.1,-66.45392061127859,0.5135187913816688,0.05393717941686216,0.01604746223067715,0.0010149306262893236,0.0,-664.5392061127889,0.038046875,250.0,0.0,1.0,0.0,7.151004791259766
32.0,0.014104739588693908,7.0,0.14285714285714285,-65.24817605056231,0.7511728346512025,0.09161669693924597,0.02347415108285008,0.0014846356712142836,0.0,-456.7372323539352,0.0753125,250.0,0.0,1.0,0.0,5.583711862564087
32.0,0.014104739588693908,6.0,0.16666666666666666,-64.3255910226562,0.9817659202384488,0.12044747906131176,0.03068018500745152,0.0019403852731779358,0.0,-385.95354613593884,0.10134895833333334,250.0,0.0,1.0,0.0,5.786263942718506
32.0,0.014104739588693908,5.0,0.2,-62.868056219642774,1.3615593917468867,0.16599544165548155,0.04254873099209021,0.002691018029696017,0.0,-314.34028109821224,0.14784375,250.0,0.0,1.0,0.0,5.626064777374268
32.0,0.014104739588693908,4.0,0.25,-60.164723658692566,1.9603597384525737,0.2504745841851756,0.06126124182664293,0.003874501129251313,0.0,-240.65889463477026,0.2309375,250.0,0.0,1.0,0.0,5.558167934417725
32.0,0.014104739588693908,4.75,0.21052631578947367,-62.291064709745186,1.6146030665218098,0.18402642633978109,0.050456345828806565,0.0031911395045633,0.0,-295.8825573712929,0.16298958333333333,250.0,0.0,1.0,0.0,5.52315092086792
32.0,0.014104739588693908,3.5,0.2857142857142857,-58.02467734660868,2.282198435009324,0.3173510314377969,0.07131870109404137,0.004510590704438264,0.0,-203.08637071312836,0.3023645833333333,250.0,0.0,1.0,0.0,5.815582990646362
32.0,0.014104739588693908,3.0,0.3333333333333333,-54.9788308028747,2.809887743813228,0.4125337359294841,0.0878089919941634,0.005553528274900939,0.0,-164.936492408628,0.3925,250.0,0.0,1.0,0.0,5.984757900238037
32.0,0.014104739588693908,2.0,0.5,-47.893443078153396,2.6784471233643736,0.6339521023270247,0.08370147260513669,0.005293745938848387,0.0,-95.78688615630679,0.5950885416666667,250.0,0.0,1.0,0.0,6.049964904785156
32.0,0.014104739588693908,1.4,0.7142857142857143,-43.1237649630291,2.931564024965658,0.7830045434246586,0.0916113757801768,0.005794012140938873,0.0,-60.37327094824114,0.7161041666666667,250.0,0.0,1.0,0.0,6.210826873779297
