N,a,kappa,one_over_kappa,U1_mean,U1_std,U_over_Ne2,U_over_Ne2_std,U_over_Ne2_sem,U2_mean,beta_U_mean,acceptance_rate,n_samples,seed,include_log,include_cosh,elapsed_seconds
2.0,0.05641895835477563,10.0,0.1,-2.7407542760352106,0.1395112849782195,0.06709787994176794,0.06975564248910975,0.0044117341982800795,0.0,-27.40754276035206,0.16641666666666666,250.0,0.0,1.0,0.0,1.5397191047668457
2.0,0.05641895835477563,7.0,0.14285714285714285,-2.6843248026436135,0.19504749667784474,0.09531261663756636,0.09752374833892237,0.006167943414161146,0.0,-18.79027361850522,0.25708333333333333,250.0,0.0,1.0,0.0,0.1981818675994873
2.0,0.05641895835477563,6.0,0.16666666666666666,-2.623106585639857,0.23111314542715453,0.1259217251394448,0.11555657271357725,0.007308439367555365,0.0,-15.738639513839171,0.30975,250.0,0.0,1.0,0.0,0.43770503997802734
2.0,0.05641895835477563,5.0,0.2,-2.5727369125409787,0.2929974210681019,0.15110656168888392,0.14649871053405092,0.009265391991306065,0.0,-12.863684562704956,0.37416666666666665,250.0,0.0,1.0,0.0,0.1889650821685791
2.0,0.05641895835477563,4.0,0.25,-2.447384692351443,0.4168501767805638,0.2137826717836515,0.2084250883902819,0.013181960016704165,0.0,-9.789538769405771,0.482,250.0,0.0,1.0,0.0,0.3446509838104248
2.0,0.05641895835477563,4.75,0.21052631578947367,-2.5548885188509884,0.31871861971682963,0.16003075853387871,0.15935930985841482,0.010078767710102314,0.0,-12.1357204645422,0.37666666666666665,250.0,0.0,1.0,0.0,0.18941879272460938
2.0,0.05641895835477563,3.5,0.2857142857142857,-2.291024566355755,0.5190853028908785,0.2919627347814957,0.2595426514454393,0.016414918570535623,0.0,-8.018585982245146,0.5503333333333333,250.0,0.0,1.0,0.0,0.21559691429138184
2.0,0.05641895835477563,3.0,0.3333333333333333,-2.171999116418545,0.5961652178692854,0.3514754597501004,0.2980826089346427,0.01885239950237456,0.0,-6.515997349255658,0.616,250.0,0.0,1.0,0.0,0.21837902069091797
2.0,0.05641895835477563,2.0,0.5,-1.793452565360383,0.7497947426803596,0.5407487352791814,0.3748973713401798,0.023710591644897996,0.0,-3.586905130720766,0.7695833333333333,250.0,0.0,1.0,0.0,0.23593711853027344
2.0,0.05641895835477563,1.4,0.7142857142857143,-1.4369764675937708,0.7536507427004056,0.7189867841624876,0.3768253713502028,0.023832529072107998,0.0,-2.011767054631265,0.86825,250.0,0.0,1.0,0.0,0.24599719047546387
