T_star,kappa,inv_eps0,inv_eps0_sem,S_avg,acceptance_rate,n_samples
0.1,10.0,0.913740885927471,0.01518749778523586,0.0541981998150842,0.0533,30
0.15,6.666666666666667,-1.0954808865253725,0.08791624421703029,1.9749442076537813,0.0951,30
0.18,5.555555555555555,0.8963160222029327,0.01104342413812244,0.11726381625920419,0.1062,30
0.21,4.761904761904762,0.7270200879748685,0.05681334476670795,0.3601885082022113,0.1526,30
0.24,4.166666666666667,0.8473974923925626,0.017620584543428654,0.23011916007307487,0.183,30
0.27,3.7037037037037033,0.4965367091830377,0.07981460456671301,0.8541053509226636,0.2543,30
0.3,3.3333333333333335,-0.02169748134790983,0.08739784345213572,1.925854380956273,0.3032,30
0.35,2.857142857142857,-0.1844515874517687,0.10768193192007927,2.6047450839698714,0.3732,30
