N,a,kappa,one_over_kappa,U1_mean,U1_std,U_over_Ne2,U_over_Ne2_std,U_over_Ne2_sem,U2_mean,beta_U_mean,acceptance_rate,n_samples,seed,include_log,include_cosh,elapsed_seconds
2,0.05641895835477563,10.0,0.1,-2.766753824518796,0.11467315086244305,0.05409810569997487,0.05733657543122153,0.0036262834319342203,0.0,-27.667538245187963,0.17008333333333334,250,0,True,False,5.64583683013916
2,0.05641895835477563,7.0,0.14285714285714285,-2.6268171872185317,0.3360027125628051,0.12406642435010713,0.16800135628140256,0.01062533871693336,0.0,-18.38772031052965,0.30041666666666667,250,0,True,False,5.993760347366333
2,0.05641895835477563,6.0,0.16666666666666666,-2.643894055273057,0.2322778713347141,0.11552799032284437,0.11613893566735704,0.007345271234732316,0.0,-15.863364331638344,0.31966666666666665,250,0,True,False,6.377357482910156
2,0.05641895835477563,5.0,0.2,-2.502826729737579,0.39068314296805207,0.1860616530905833,0.19534157148402606,0.012354485752122403,0.0,-12.514133648687888,0.4370833333333333,250,0,True,False,6.507337331771851
2,0.05641895835477563,4.0,0.25,-2.3436021513872385,0.479697686716083,0.26567394226575375,0.2398488433580415,0.015169372783367193,0.0,-9.374408605548954,0.5409166666666667,250,0,True,False,6.850660085678101
2,0.05641895835477563,4.75,0.21052631578947367,-2.498987327709768,0.36807132704288603,0.18798135410448916,0.184035663521443,0.011639437348562478,0.0,-11.870189806621408,0.45425,250,0,True,False,6.7281413078308105
2,0.05641895835477563,3.5,0.2857142857142857,-2.2138269383916582,0.556309023637523,0.330561548763544,0.27815451181876144,0.017592035975990215,0.0,-7.748394284370849,0.6255,250,0,True,False,7.203622817993164
2,0.05641895835477563,3.0,0.3333333333333333,-2.050702931920079,0.5858289990345056,0.41212355199933326,0.2929144995172528,0.018525539563256203,0.0,-6.152108795760251,0.7041666666666667,250,0,True,False,7.058617353439331
2,0.05641895835477563,2.0,0.5,-1.648544119323265,0.5371945586742943,0.6132029582977404,0.26859727933714717,0.016987583520597326,0.0,-3.29708823864653,0.87475,250,0,True,False,7.394797086715698
2,0.05641895835477563,1.4,0.7142857142857143,-1.582599851291634,0.5176499072174832,0.646175092313556,0.2588249536087416,0.016369527373820813,0.0,-2.2156397918082833,0.9199166666666667,250,0,True,False,6.970445871353149
