N,a,kappa,one_over_kappa,U1_mean,U1_std,U_over_Ne2,U_over_Ne2_std,U_over_Ne2_sem,U2_mean,beta_U_mean,acceptance_rate,n_samples,seed,include_log,include_cosh,elapsed_seconds
8,0.028209479177387815,10.0,0.1,-13.899193112627355,0.30231653614258563,0.046649469160926105,0.037789567017823204,0.0023900220713579624,0.0,-138.9919311262733,0.09622916666666667,250,0,True,False,24.55520486831665
8,0.028209479177387815,7.0,0.14285714285714285,-13.553699632392004,0.3950552754257392,0.08983615419034499,0.0493819094282174,0.003123186180026203,0.0,-94.87589742674388,0.16222916666666667,250,0,True,False,26.46186852455139
8,0.028209479177387815,6.0,0.16666666666666666,-13.380845170822067,0.5037888972528173,0.11144296188658709,0.06297361215660216,0.003982800938058618,0.0,-80.28507102493178,0.20752083333333332,250,0,True,False,26.99991202354431
8,0.028209479177387815,5.0,0.2,-13.025942719802998,0.6857559005034211,0.15580576826397055,0.08571948756292763,0.005421376411226546,0.0,-65.12971359901451,0.2648125,250,0,True,False,28.696827173233032
8,0.028209479177387815,4.0,0.25,-12.214357123818194,0.9824951790582542,0.2572539677620711,0.12281189738228178,0.007767306389897623,0.0,-48.85742849527278,0.36922916666666666,250,0,True,False,29.93053960800171
8,0.028209479177387815,4.75,0.21052631578947367,-12.69274325902991,0.8422260746347626,0.19745570086060668,0.10527825932934531,0.0066583817515720395,0.0,-60.290530480391915,0.2989583333333333,250,0,True,False,29.26876211166382
8,0.028209479177387815,3.5,0.2857142857142857,-11.664115621480246,1.1357815128056707,0.32603415555431486,0.14197268910070884,0.008979141261944048,0.0,-40.82440467518081,0.46366666666666667,250,0,True,False,30.604195594787598
8,0.028209479177387815,3.0,0.3333333333333333,-10.577960316944827,1.3040758429658477,0.461803568621242,0.16300948037073096,0.01030962476344037,0.0,-31.73388095083471,0.5765208333333334,250,0,True,False,31.673263788223267
8,0.028209479177387815,2.0,0.5,-9.32695809784811,1.1821507503022832,0.6181788460083314,0.1477688437877854,0.009345722271580497,0.0,-18.65391619569622,0.7385208333333333,250,0,True,False,33.216954469680786
8,0.028209479177387815,1.4,0.7142857142857143,-8.428782011607684,1.1962893489093287,0.730450856788385,0.1495361686136661,0.009457497707883365,0.0,-11.800294816251084,0.8267916666666667,250,0,True,False,33.54257273674011
